City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Port-Gentil,GA,2022-05-21 18:39:43,-0.7193,8.7815,78.94,82,100,13.35
113,Lazaro Cardenas,MX,2022-05-21 18:35:25,17.9583,-102.2,83.1,63,15,9.31
114,Kaitangata,NZ,2022-05-21 18:39:44,-46.2817,169.8464,47.97,92,100,15.39
115,Castro,BR,2022-05-21 18:39:44,-24.7911,-50.0119,63.66,47,8,3.91
116,Omboue,GA,2022-05-21 18:39:45,-1.5746,9.2618,76.37,89,100,9.33
117,Provideniya,RU,2022-05-21 18:39:45,64.3833,-173.3,49.8,51,96,12.21
118,Mar Del Plata,AR,2022-05-21 18:39:45,-38.0023,-57.5575,68.02,65,0,4.61
119,Chokurdakh,RU,2022-05-21 18:39:46,70.6333,147.9167,33.24,100,100,3.71
120,Kodiak,US,2022-05-21 18:31:14,57.79,-152.4072,45.91,81,100,25.32
121,Divnogorsk,RU,2022-05-21 18:39:47,55.9594,92.3619,59.49,57,57,2.01
122,Tautira,PF,2022-05-21 18:37:48,-17.7333,-149.15,79.12,74,17,11.5
123,Paraiso,CR,2022-05-21 18:39:47,9.8383,-83.8656,76.06,86,100,2.26
124,Chuy,UY,2022-05-21 18:30:06,-33.6971,-53.4616,61.9,59,100,7.36
125,Salcininkai,LT,2022-05-21 18:39:48,54.3,25.3833,54.84,97,100,12.86
126,Yellowknife,CA,2022-05-21 18:39:48,62.456,-114.3525,55.92,41,75,5.75
127,Laguna,US,2022-05-21 18:39:49,38.421,-121.4238,82.69,22,0,5.75
128,Umm Kaddadah,SD,2022-05-21 18:39:49,13.6017,26.6876,87.3,11,100,10.65
129,Muscatine,US,2022-05-21 18:39:50,41.4667,-91.1335,58.21,59,100,3.44
130,Nhulunbuy,AU,2022-05-21 18:39:50,-12.2333,136.7667,79.41,73,41,8.05
131,Opuwo,NA,2022-05-21 18:36:25,-18.0607,13.84,59.09,13,0,6.6
132,Cap Malheureux,MU,2022-05-21 18:39:51,-19.9842,57.6142,73.47,76,0,3.0
133,Bedele,ET,2022-05-21 18:39:51,8.456,36.353,56.82,96,100,4.74
134,Barrow,US,2022-05-21 18:35:10,71.2906,-156.7887,23.02,86,100,11.5
135,Ardakan,IR,2022-05-21 18:40:52,32.31,54.0175,79.45,15,20,19.19
136,Kenai,US,2022-05-21 18:40:52,60.5544,-151.2583,63.03,27,0,8.05
137,Muzaffargarh,PK,2022-05-21 18:36:08,30.0754,71.1921,93.22,12,0,4.12
138,Qaanaaq,GL,2022-05-21 18:40:53,77.484,-69.3632,19.87,80,100,2.89
139,Saskylakh,RU,2022-05-21 18:37:43,71.9167,114.0833,26.83,99,97,6.58
140,Kiruna,SE,2022-05-21 18:40:53,67.8557,20.2251,50.92,66,100,3.44
141,Cape Town,ZA,2022-05-21 18:37:13,-33.9258,18.4232,58.12,79,0,2.3
142,Namatanai,PG,2022-05-21 18:35:24,-3.6667,152.4333,79.18,77,64,7.16
143,Nouakchott,MR,2022-05-21 18:39:27,18.0858,-15.9785,73.33,80,3,16.4
144,Coquimbo,CL,2022-05-21 18:40:32,-29.9533,-71.3436,58.73,88,20,11.5
145,Pangnirtung,CA,2022-05-21 18:40:55,66.1451,-65.7125,32.0,86,75,8.05
146,Bethel,US,2022-05-21 18:40:55,41.3712,-73.414,92.35,61,0,1.99
147,Tupik,RU,2022-05-21 18:40:55,54.4253,119.9327,43.32,96,100,4.76
148,Springbok,ZA,2022-05-21 18:40:56,-29.6643,17.8865,46.78,62,4,5.37
149,Gevrai,IN,2022-05-21 18:40:56,19.2667,75.75,82.63,51,0,20.94
150,Manica,FR,2022-05-21 18:40:57,49.0,-1.1667,57.33,81,17,5.14
151,Kahului,US,2022-05-21 18:31:22,20.8947,-156.47,80.62,72,0,8.99
152,Sao Filipe,CV,2022-05-21 18:36:19,14.8961,-24.4956,72.9,79,52,13.22
153,Cidreira,BR,2022-05-21 18:40:57,-30.1811,-50.2056,64.54,59,9,4.5
154,Sitka,US,2022-05-21 18:38:18,57.0531,-135.33,57.09,54,0,0.0
155,Khatanga,RU,2022-05-21 18:40:58,71.9667,102.5,35.4,98,100,6.13
156,Okhotsk,RU,2022-05-21 18:40:59,59.3833,143.3,34.14,99,100,5.5
157,Katsuura,JP,2022-05-21 18:40:59,35.1333,140.3,60.98,94,100,15.79
158,Trairi,BR,2022-05-21 18:39:44,-3.2778,-39.2689,81.52,79,8,8.16
159,Ozerne,UA,2022-05-21 18:41:00,50.1782,28.7338,56.71,75,0,16.24
160,Hobart,AU,2022-05-21 18:41:00,-42.8794,147.3294,44.46,89,100,9.22
161,Lompoc,US,2022-05-21 18:31:17,34.6391,-120.4579,76.69,54,0,10.36
162,Tuatapere,NZ,2022-05-21 18:41:01,-46.1333,167.6833,47.66,88,98,15.55
163,Marawi,PH,2022-05-21 18:41:01,7.9986,124.2928,69.73,92,87,2.35
164,Ferme-Neuve,CA,2022-05-21 18:41:01,46.7001,-75.4493,63.7,90,100,4.27
165,Labrea,BR,2022-05-21 18:41:02,-7.2586,-64.7981,90.18,44,28,1.36
166,Atambua,ID,2022-05-21 18:41:02,-9.1061,124.8925,71.13,86,12,4.94
167,Batticaloa,LK,2022-05-21 18:41:03,7.7102,81.6924,81.9,71,96,8.75
