City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Aksha,RU,73.0,broken clouds,50.2814,113.2867,Vizit
104,Balikpapan,ID,86.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
105,Russell,US,72.63,clear sky,32.3502,-85.1999,Macs
109,Tura,IN,85.57,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
112,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Parrita,CR,78.06,overcast clouds,9.5201,-84.3225,Beso del Viento
118,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Alize Plage
127,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
128,Biak,ID,83.23,scattered clouds,-0.9131,122.8766,Penginapan Kim
129,Najran,SA,84.85,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
130,Sibu,MY,89.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
137,Nhulunbuy,AU,88.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
138,Sao Filipe,CV,71.19,broken clouds,14.8961,-24.4956,Hotel Xaguate
140,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
141,Rincon,US,74.84,light rain,32.296,-81.2354,Days Inn Rincon
143,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
144,Obosi,NG,72.57,broken clouds,6.0951,6.8177,Maslina Suites & Garden
145,Caravelas,BR,70.29,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
151,Piacabucu,BR,76.69,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
152,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
154,Westport,US,74.44,clear sky,41.1415,-73.3579,The Westport Inn
158,Cockburn Town,TC,79.38,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
160,Batticaloa,LK,88.27,overcast clouds,7.7102,81.6924,Grand Star Guest House
163,Buchanan,LR,74.86,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
164,Broome,US,72.7,clear sky,42.2506,-75.833,Chenango Valley State Park
165,Samarai,PG,82.96,broken clouds,-10.6167,150.6667,Nuli Sapi
166,San Patricio,US,82.49,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
175,Kavieng,PG,85.01,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
177,Matay,EG,71.17,clear sky,28.419,30.7792,Nag Aespen
184,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
186,Dingle,PH,87.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
194,Isangel,VU,78.51,broken clouds,-19.55,169.2667,Tanna Lodge
196,Hilo,US,80.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
197,Saint-Georges,GD,80.29,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
200,Coahuayana,MX,75.2,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
201,Gashua,NG,78.85,broken clouds,12.871,11.0482,Forte Oil - Old Lorry Park
202,Harbin,CN,75.15,broken clouds,45.75,126.65,华融饭店
203,Madanapalle,IN,78.19,overcast clouds,13.55,78.5,Prithvi Lodge
205,Port Blair,IN,87.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
206,Suzuka,JP,82.06,few clouds,34.8833,136.5833,Hotel Marion
208,Belmonte,BR,70.83,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
216,Tautira,PF,79.75,few clouds,-17.7333,-149.15,Pension Oaoa
217,Innisfail,AU,76.48,broken clouds,-17.5333,146.0333,Moondarra Motel
227,Sinnamary,GF,76.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
228,Tabas,IR,75.42,sand,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
233,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
234,Ambilobe,MG,79.2,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
238,Hambantota,LK,87.57,broken clouds,6.1241,81.1185,Bungalow 63
240,Leogane,HT,79.0,overcast clouds,18.5108,-72.6339,Family Health Ministries Guest House
241,Carovigno,IT,74.28,clear sky,40.708,17.655,Hotel Resort Corte di Ferro Puglia Hotels
246,Save,BJ,73.83,overcast clouds,8.0425,2.486,Le Cercle du Rail
249,Kupang,ID,88.05,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
251,Mattru,SL,73.08,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
253,Acajutla,SV,80.4,overcast clouds,13.5928,-89.8275,Laureles
259,Itarema,BR,74.17,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
261,Akyab,MM,88.11,broken clouds,20.15,92.9,Hotel Memory
265,Davila,PH,85.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
268,Waingapu,ID,86.41,few clouds,-9.6567,120.2641,Pondok Wisata Elim
269,Bundaberg,AU,71.22,broken clouds,-24.85,152.35,Takalvan Motel
272,Ferkessedougou,CI,72.09,overcast clouds,9.6,-5.2,Hotel Chateau
273,Kadoma,JP,82.6,few clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
274,Bandarbeyla,SO,89.38,overcast clouds,9.4942,50.8122,JABIR HOTEL
276,Pocao De Pedras,BR,70.86,broken clouds,-4.6667,-44.85,Hotel Magazine
279,Mitsamiouli,KM,80.19,broken clouds,-11.3847,43.2844,Foyer ADM
282,Mlonggo,ID,79.59,overcast clouds,-6.5333,110.7,Asia Metal Art
283,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
285,Tuy Hoa,VN,88.05,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
286,Guangzhou,CN,77.88,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
