City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,66.42,40,89,4.61,overcast clouds
151,Piacabucu,BR,-10.4056,-36.4344,76.69,75,98,13.27,overcast clouds
152,Cayenne,GF,4.9333,-52.3333,76.08,1,0,0.0,clear sky
153,Mehamn,NO,71.0357,27.8492,40.91,96,100,5.91,overcast clouds
154,Westport,US,41.1415,-73.3579,74.44,90,0,0.0,clear sky
155,Coihaique,CL,-45.5752,-72.0662,36.21,93,100,5.75,overcast clouds
156,Ilulissat,GL,69.2167,-51.1,44.62,45,75,23.02,broken clouds
157,Sitka,US,57.0531,-135.33,53.49,58,0,3.44,clear sky
158,Cockburn Town,TC,21.4612,-71.1419,79.38,82,100,19.1,overcast clouds
159,Pinheiro Machado,BR,-31.5783,-53.3811,50.05,88,99,2.48,overcast clouds
160,Batticaloa,LK,7.7102,81.6924,88.27,54,100,5.06,overcast clouds
161,Tlacolula,MX,16.9542,-96.4792,65.57,57,39,0.6,scattered clouds
162,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,4.61,mist
163,Buchanan,LR,5.8808,-10.0467,74.86,91,100,5.91,moderate rain
164,Broome,US,42.2506,-75.833,72.7,75,0,6.91,clear sky
165,Samarai,PG,-10.6167,150.6667,82.96,75,81,8.99,broken clouds
166,San Patricio,US,28.017,-97.5169,82.49,93,32,13.85,scattered clouds
167,Airai,TL,-8.9266,125.4092,72.63,55,38,4.45,scattered clouds
168,Necochea,AR,-38.5473,-58.7368,48.07,68,0,6.15,clear sky
169,Bilibino,RU,68.0546,166.4372,49.71,57,71,8.05,broken clouds
170,Chimbote,PE,-9.0853,-78.5783,62.62,92,52,6.2,broken clouds
171,Millerovo,RU,48.9226,40.3967,58.3,89,97,18.66,overcast clouds
172,Torbay,CA,47.6666,-52.7314,52.57,58,100,12.66,overcast clouds
173,Chapais,CA,49.7834,-74.8492,40.78,70,86,5.53,overcast clouds
174,Hofn,IS,64.2539,-15.2082,46.36,87,100,15.93,overcast clouds
175,Kavieng,PG,-2.5744,150.7967,85.01,64,96,13.29,overcast clouds
176,Severo-Kurilsk,RU,50.6789,156.125,45.46,91,74,12.06,broken clouds
177,Matay,EG,28.419,30.7792,71.17,31,0,9.86,clear sky
178,Tiksi,RU,71.6872,128.8694,31.39,92,100,4.94,overcast clouds
179,Baden,AT,47.9974,16.233,61.32,63,65,4.25,broken clouds
180,Pevek,RU,69.7008,170.3133,36.91,92,84,5.68,broken clouds
181,Newport,GB,51.5877,-2.9984,54.25,83,95,4.81,overcast clouds
182,Mikhaylovsk,RU,45.1283,42.0256,64.62,39,0,13.42,clear sky
183,Bayanday,RU,53.0661,105.5139,67.05,39,77,14.23,broken clouds
184,Hasaki,JP,35.7333,140.8333,72.0,79,90,20.51,overcast clouds
185,Rio Grande,BR,-32.035,-52.0986,54.05,82,100,6.13,overcast clouds
186,Dingle,PH,10.9995,122.6711,87.94,63,100,6.4,overcast clouds
187,Verkhnyaya Toyma,RU,62.2349,44.9985,35.58,66,99,9.93,overcast clouds
188,Waipawa,NZ,-41.4122,175.5153,51.98,70,9,5.01,clear sky
189,Lasa,IT,46.6166,10.7002,58.08,61,26,5.06,scattered clouds
190,Spassk-Ryazanskiy,RU,54.4072,40.3806,45.5,71,96,12.84,overcast clouds
191,Otuzco,PE,-7.9,-78.5833,47.79,85,21,1.34,few clouds
192,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,97,100,3.83,overcast clouds
193,Svetlyy,RU,54.675,20.1347,48.25,92,100,18.77,overcast clouds
194,Isangel,VU,-19.55,169.2667,78.51,86,55,12.77,broken clouds
195,Geraldton,AU,-28.7667,114.6,64.81,88,100,26.46,overcast clouds
196,Hilo,US,19.7297,-155.09,80.28,82,40,6.91,scattered clouds
197,Saint-Georges,GD,12.0564,-61.7485,80.29,70,42,16.51,scattered clouds
198,Krasnoselkup,RU,65.7,82.4667,52.63,51,40,3.4,scattered clouds
199,Mnogovershinnyy,RU,53.9353,139.9242,32.2,95,100,6.11,overcast clouds
200,Coahuayana,MX,18.7333,-103.6833,75.2,82,57,2.17,broken clouds
201,Gashua,NG,12.871,11.0482,78.85,17,72,1.9,broken clouds
202,Harbin,CN,45.75,126.65,75.15,22,74,6.24,broken clouds
203,Madanapalle,IN,13.55,78.5,78.19,61,96,17.4,overcast clouds
